"latestdataforgrade","schoolyearstart","schoolyearend","locationabbr","topic","grade","indicator","datasource","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_interval","high_confidence_interval","confidence_interval_footnote_symbol","confidence_interval_footnote","sample_size","response_rate","response_rate_footnote_symbol","response_rate_footnote","adjusted_for_nonresponse","percent_eligible_for_the_nslp_sampleschools","nslp_sampleschools_footnote_symbol","nslp_sampleschools_footnote","percent_eligible_for_the_nslp_samplestudents","nslp_samplestudents_footnote_symbol","nslp_samplestudents_footnote","percent_eligible_for_the_nslp_state","nslp_state_footnote_symbol","nslp_state_footnote","locationdesc","locationid","geolocation","gradeid","sortgradeid","indicatorid"
"Yes","1999","2002","AZ","Child","First Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","58.6",,,"54.0","63.1",,,"3348",,"NR","Not Reported","Yes","53",,,,"NC","Not Collected","52",,,"Arizona","04","
,  
(34.865970280000454, -111.76381127699972)","1GRADE","03","CHD1_1"
"Yes","1999","2002","AZ","Child","First Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","38.2",,,"32.6","43.8",,,"3348",,"NR","Not Reported","Yes","53",,,,"NC","Not Collected","52",,,"Arizona","04","
,  
(34.865970280000454, -111.76381127699972)","1GRADE","03","CHD1_3"
"Yes","1999","2002","AZ","Child","First Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage",,"NC","Not Collected",,,"NC","Not Collected","3348",,"NR","Not Reported","Yes","53",,,,"NC","Not Collected","52",,,"Arizona","04","
,  
(34.865970280000454, -111.76381127699972)","1GRADE","03","CHD1_2"
"Yes","2014","2015","AZ","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","52.1",,,"47.7","56.5",,,"3630","76",,,"Yes","72",,,,"NC","Not Collected","58",,,"Arizona","04","
,  
(34.865970280000454, -111.76381127699972)","KGRADE","02","CHD1_1"
"Yes","2014","2015","AZ","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","27.4",,,"23.6","31.3",,,"3630","76",,,"Yes","72",,,,"NC","Not Collected","58",,,"Arizona","04","
,  
(34.865970280000454, -111.76381127699972)","KGRADE","02","CHD1_3"
"Yes","1999","2002","AZ","Child","Second Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","21.0",,,"17.5","24.5",,,"3312",,"NR","Not Reported","Yes","53",,,,"NC","Not Collected","52",,,"Arizona","04","
,  
(34.865970280000454, -111.76381127699972)","2GRADE","04","CHD1_2"
"Yes","1999","2002","AZ","Child","Second Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","62.5",,,"58.0","67.1",,,"3312",,"NR","Not Reported","Yes","53",,,,"NC","Not Collected","52",,,"Arizona","04","
,  
(34.865970280000454, -111.76381127699972)","2GRADE","04","CHD1_1"
"Yes","1999","2002","AZ","Child","Second Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","40.0",,,"35.3","44.6",,,"3312",,"NR","Not Reported","Yes","53",,,,"NC","Not Collected","52",,,"Arizona","04","
,  
(34.865970280000454, -111.76381127699972)","2GRADE","04","CHD1_3"
"Yes","2014","2015","AZ","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","64.0",,,"59.3","68.7",,,"2373","72",,,"Yes","72",,,,"NC","Not Collected","58",,,"Arizona","04","
,  
(34.865970280000454, -111.76381127699972)","3GRADE","05","CHD1_1"
"Yes","2014","2015","AZ","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","44.2",,,"39.8","48.5",,,"2373","72",,,"Yes","72",,,,"NC","Not Collected","58",,,"Arizona","04","
,  
(34.865970280000454, -111.76381127699972)","3GRADE","05","CHD1_2"
"Yes","2014","2015","AZ","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","28.0",,,"23.5","32.5",,,"2373","72",,,"Yes","72",,,,"NC","Not Collected","58",,,"Arizona","04","
,  
(34.865970280000454, -111.76381127699972)","3GRADE","05","CHD1_3"
"Yes","2019","2020","AR","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","21.4",,,"19.5","23.3",,,"5084","77",,,"Yes","63",,,,"NC","Not Collected","63",,,"Arkansas","05","
,  
(34.74865012400045, -92.27449074299966)","3GRADE","05","CHD1_3"
"Yes","2019","2020","AR","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","37.2",,,"33.4","40.9",,,"5084","77",,,"Yes","63",,,,"NC","Not Collected","63",,,"Arkansas","05","
,  
(34.74865012400045, -92.27449074299966)","3GRADE","05","CHD1_2"
"Yes","2019","2020","AR","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","64.8",,,"61.4","68.2",,,"5084","77",,,"Yes","63",,,,"NC","Not Collected","63",,,"Arkansas","05","
,  
(34.74865012400045, -92.27449074299966)","3GRADE","05","CHD1_1"
"Yes","2004","2005","CA","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","27.9",,,"26.0","29.7",,,"10946","58",,,"Yes","64",,,,"NC","Not Collected","57",,,"California","06","
,  
(37.63864012300047, -120.99999953799971)","KGRADE","02","CHD1_3"
"Yes","2004","2005","CA","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","53.6",,,"51.4","55.9",,,"10946","58",,,"Yes","64",,,,"NC","Not Collected","57",,,"California","06","
,  
(37.63864012300047, -120.99999953799971)","KGRADE","02","CHD1_1"
"Yes","2004","2005","CA","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","28.7",,,"27.0","30.4",,,"10444","52",,,"Yes","64",,,,"NC","Not Collected","57",,,"California","06","
,  
(37.63864012300047, -120.99999953799971)","3GRADE","05","CHD1_3"
"Yes","2004","2005","CA","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","27.6",,,"25.7","29.4",,,"10444","52",,,"Yes","64",,,,"NC","Not Collected","57",,,"California","06","
,  
(37.63864012300047, -120.99999953799971)","3GRADE","05","CHD1_2"
"Yes","2004","2005","CA","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","70.9",,,"69.1","72.8",,,"10444","52",,,"Yes","64",,,,"NC","Not Collected","57",,,"California","06","
,  
(37.63864012300047, -120.99999953799971)","3GRADE","05","CHD1_1"
"Yes","2013","2014","CO","Child","Head Start","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","15.3",,,"9.4","21.3",,,"739","53",,,"Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Colorado","08","
,  
(38.843840757000464, -106.13361092099967)","HGRADE","01","CHD1_3"
"Yes","2013","2014","CO","Child","Head Start","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","41.7",,,"37.0","46.3",,,"739","53",,,"Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Colorado","08","
,  
(38.843840757000464, -106.13361092099967)","HGRADE","01","CHD1_1"
"Yes","2016","2017","CO","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","17.5",,,"14.6","20.4",,,"1770","75",,,"Yes",,"NA","Not Available",,"NC","Not Collected",,"NA","Not Available","Colorado","08","
,  
(38.843840757000464, -106.13361092099967)","KGRADE","02","CHD1_3"
"Yes","2016","2017","CO","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","31.3",,,"23.1","39.6",,,"1770","75",,,"Yes",,"NA","Not Available",,"NC","Not Collected",,"NA","Not Available","Colorado","08","
,  
(38.843840757000464, -106.13361092099967)","KGRADE","02","CHD1_1"
"Yes","2016","2017","CO","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","57.4",,,"48.7","66.1",,,"1789","74",,,"Yes",,"NA","Not Available",,"NC","Not Collected",,"NA","Not Available","Colorado","08","
,  
(38.843840757000464, -106.13361092099967)","3GRADE","05","CHD1_2"
"Yes","2016","2017","CO","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","15.2",,,"11.0","19.4",,,"1789","74",,,"Yes",,"NA","Not Available",,"NC","Not Collected",,"NA","Not Available","Colorado","08","
,  
(38.843840757000464, -106.13361092099967)","3GRADE","05","CHD1_3"
"Yes","2016","2017","CO","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","47.3",,,"38.6","56.0",,,"1789","74",,,"Yes",,"NA","Not Available",,"NC","Not Collected",,"NA","Not Available","Colorado","08","
,  
(38.843840757000464, -106.13361092099967)","3GRADE","05","CHD1_1"
"Yes","2010","2011","CT","Child","Head Start","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","19.3",,,"10.9","27.6",,,"774","77",,,"No",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Connecticut","09","
,  
(41.56266102000046, -72.64984095199964)","HGRADE","01","CHD1_1"
"Yes","2010","2011","CT","Child","Head Start","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","9.6",,,"4.6","14.5",,,"774","77",,,"No",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Connecticut","09","
,  
(41.56266102000046, -72.64984095199964)","HGRADE","01","CHD1_3"
"Yes","2016","2017","CT","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","17.3",,,"14.7","20.0",,,"2184","79",,,"Yes","43",,,,"NC","Not Collected","42",,,"Connecticut","09","
,  
(41.56266102000046, -72.64984095199964)","KGRADE","02","CHD1_3"
"Yes","2016","2017","CT","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","32.0",,,"28.2","35.9",,,"2184","79",,,"Yes","43",,,,"NC","Not Collected","42",,,"Connecticut","09","
,  
(41.56266102000046, -72.64984095199964)","KGRADE","02","CHD1_1"
"Yes","2016","2017","CT","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","15.5",,,"12.5","18.5",,,"2234","74",,,"Yes","43",,,,"NC","Not Collected","42",,,"Connecticut","09","
,  
(41.56266102000046, -72.64984095199964)","3GRADE","05","CHD1_3"
"Yes","2016","2017","CT","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","41.5",,,"37.2","45.8",,,"2234","74",,,"Yes","43",,,,"NC","Not Collected","42",,,"Connecticut","09","
,  
(41.56266102000046, -72.64984095199964)","3GRADE","05","CHD1_1"
"Yes","2016","2017","CT","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","38.8",,,"33.6","44.0",,,"2234","74",,,"Yes","43",,,,"NC","Not Collected","42",,,"Connecticut","09","
,  
(41.56266102000046, -72.64984095199964)","3GRADE","05","CHD1_2"
"Yes","2012","2013","DE","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","53.6",,,"48.0","59.2",,,"828","38",,,"Yes","53",,,"41",,,"52",,,"Delaware","10","
,  
(39.008830667000495, -75.57774116799965)","3GRADE","05","CHD1_2"
"Yes","2012","2013","DE","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","47.2",,,"40.2","54.2",,,"828","38",,,"Yes","53",,,"41",,,"52",,,"Delaware","10","
,  
(39.008830667000495, -75.57774116799965)","3GRADE","05","CHD1_1"
"Yes","2012","2013","DE","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","16.1",,,"12.6","19.6",,,"828","38",,,"Yes","53",,,"41",,,"52",,,"Delaware","10","
,  
(39.008830667000495, -75.57774116799965)","3GRADE","05","CHD1_3"
"Yes","2014","2015","FL","Child","Head Start","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","20.8",,,"15.5","26.1",,,"1433","93",,,"Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Florida","12","
,  
(28.932040377000476, -81.92896053899966)","HGRADE","01","CHD1_3"
"Yes","2014","2015","FL","Child","Head Start","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","32.1",,,"26.2","37.9",,,"1433","93",,,"Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Florida","12","
,  
(28.932040377000476, -81.92896053899966)","HGRADE","01","CHD1_1"
"Yes","2016","2017","FL","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","45.5",,,"41.5","49.5",,,"1259","28",,,"Yes","64",,,"59",,,"63",,,"Florida","12","
,  
(28.932040377000476, -81.92896053899966)","3GRADE","05","CHD1_1"
"Yes","2016","2017","FL","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","40.5",,,"34.3","46.6",,,"1259","28",,,"Yes","64",,,"59",,,"63",,,"Florida","12","
,  
(28.932040377000476, -81.92896053899966)","3GRADE","05","CHD1_2"
"Yes","2016","2017","FL","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","25.1",,,"21.4","28.9",,,"1259","28",,,"Yes","64",,,"59",,,"63",,,"Florida","12","
,  
(28.932040377000476, -81.92896053899966)","3GRADE","05","CHD1_3"
"Yes","2014","2015","GA","Child","Head Start","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","23.6",,,"18.9","28.3",,,"1575",,"NR","Not Reported","No",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Georgia","13","
,  
(32.83968109300048, -83.62758034599966)","HGRADE","01","CHD1_1"
"Yes","2014","2015","GA","Child","Head Start","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","18.8",,,"16.7","20.8",,,"1575",,"NR","Not Reported","No",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Georgia","13","
,  
(32.83968109300048, -83.62758034599966)","HGRADE","01","CHD1_3"
"Yes","2016","2017","GA","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","19.1",,,"15.4","22.8",,,"3202","35",,,"Yes","68",,,,"NC","Not Collected","70",,,"Georgia","13","
,  
(32.83968109300048, -83.62758034599966)","3GRADE","05","CHD1_3"
"Yes","2016","2017","GA","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","51.1",,,"46.2","56.0",,,"3202","35",,,"Yes","68",,,,"NC","Not Collected","70",,,"Georgia","13","
,  
(32.83968109300048, -83.62758034599966)","3GRADE","05","CHD1_1"
"Yes","2016","2017","GA","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","34.8",,,"29.7","39.8",,,"3202","35",,,"Yes","68",,,,"NC","Not Collected","70",,,"Georgia","13","
,  
(32.83968109300048, -83.62758034599966)","3GRADE","05","CHD1_2"
"Yes","2017","2018","HI","Child","Head Start","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","38.7",,,,,"NA","Not Applicable","1818","75",,,"No",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Hawaii","15","
,  
(21.304850435000446, -157.85774940299973)","HGRADE","01","CHD1_3"
"Yes","2017","2018","HI","Child","Head Start","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","60.9",,,,,"NA","Not Applicable","1818","75",,,"No",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Hawaii","15","
,  
(21.304850435000446, -157.85774940299973)","HGRADE","01","CHD1_1"
"Yes","2014","2015","HI","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","37.6",,,"35.1","40.1",,,"3184","57",,,"Yes","55",,,"53",,,"53",,,"Hawaii","15","
,  
(21.304850435000446, -157.85774940299973)","3GRADE","05","CHD1_2"
"Yes","2014","2015","HI","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","70.6",,,"67.5","73.6",,,"3184","57",,,"Yes","55",,,"53",,,"53",,,"Hawaii","15","
,  
(21.304850435000446, -157.85774940299973)","3GRADE","05","CHD1_1"
"Yes","2014","2015","HI","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","22.4",,,"19.1","25.7",,,"3184","57",,,"Yes","55",,,"53",,,"53",,,"Hawaii","15","
,  
(21.304850435000446, -157.85774940299973)","3GRADE","05","CHD1_3"
"Yes","2004","2005","ID","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","46.7",,,"37.3","56.2",,,"936","75",,,"Yes","54",,,,"NC","Not Collected","42",,,"Idaho","16","
,  
(43.682630005000476, -114.3637300419997)","KGRADE","02","CHD1_1"
"Yes","2004","2005","ID","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","23.8",,,"18.4","29.9",,,"936","75",,,"Yes","54",,,,"NC","Not Collected","42",,,"Idaho","16","
,  
(43.682630005000476, -114.3637300419997)","KGRADE","02","CHD1_3"
"Yes","2000","2001","ID","Child","Second Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","38.0",,,"35.2","40.9",,,"3188","73",,,"Yes","50",,,,"NC","Not Collected","39",,,"Idaho","16","
,  
(43.682630005000476, -114.3637300419997)","2GRADE","04","CHD1_2"
"Yes","2000","2001","ID","Child","Second Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","63.7",,,"60.6","66.7",,,"3188","73",,,"Yes","50",,,,"NC","Not Collected","39",,,"Idaho","16","
,  
(43.682630005000476, -114.3637300419997)","2GRADE","04","CHD1_1"
"Yes","2000","2001","ID","Child","Second Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","27.9",,,"25.4","30.4",,,"3188","73",,,"Yes","50",,,,"NC","Not Collected","39",,,"Idaho","16","
,  
(43.682630005000476, -114.3637300419997)","2GRADE","04","CHD1_3"
"Yes","2016","2017","ID","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","67.2",,,"64.8","69.7",,,"3687","82",,,"Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Idaho","16","
,  
(43.682630005000476, -114.3637300419997)","3GRADE","05","CHD1_2"
"Yes","2016","2017","ID","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","17.1",,,"15.5","18.7",,,"3687","82",,,"Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Idaho","16","
,  
(43.682630005000476, -114.3637300419997)","3GRADE","05","CHD1_3"
"Yes","2016","2017","ID","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","65.6",,,"62.7","68.5",,,"3687","82",,,"Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Idaho","16","
,  
(43.682630005000476, -114.3637300419997)","3GRADE","05","CHD1_1"
"Yes","1993","1994","IL","Child","First Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","45.4",,,"40.3","50.6",,,"753",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Illinois","17","
,  
(40.48501028300046, -88.99771017799969)","1GRADE","03","CHD1_1"
"Yes","1993","1994","IL","Child","First Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage",,"NC","Not Collected",,,"NC","Not Collected","753",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Illinois","17","
,  
(40.48501028300046, -88.99771017799969)","1GRADE","03","CHD1_2"
"Yes","1993","1994","IL","Child","First Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","38.6",,,"33.1","44.1",,,"753",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Illinois","17","
,  
(40.48501028300046, -88.99771017799969)","1GRADE","03","CHD1_3"
"Yes","1993","1994","IL","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","33.3",,,"28.2","38.5",,,"691",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Illinois","17","
,  
(40.48501028300046, -88.99771017799969)","KGRADE","02","CHD1_3"
"Yes","1993","1994","IL","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","55.8",,,"50.3","61.3",,,"691",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Illinois","17","
,  
(40.48501028300046, -88.99771017799969)","KGRADE","02","CHD1_1"
"Yes","1993","1994","IL","Child","Second Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","41.2",,,"36.1","46.4",,,"741",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Illinois","17","
,  
(40.48501028300046, -88.99771017799969)","2GRADE","04","CHD1_1"
"Yes","1993","1994","IL","Child","Second Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage",,"NC","Not Collected",,,"NC","Not Collected","741",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Illinois","17","
,  
(40.48501028300046, -88.99771017799969)","2GRADE","04","CHD1_2"
"Yes","1993","1994","IL","Child","Second Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","40.0",,,"34.4","45.7",,,"741",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Illinois","17","
,  
(40.48501028300046, -88.99771017799969)","2GRADE","04","CHD1_3"
